City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,erdaojiang,41.78,126.03,37.51,81,25,2.26,CN,1605198008
313,bria,6.54,21.99,77.86,56,20,2.21,CF,1605198009
314,padang,-0.95,100.35,79.86,78,93,4.03,ID,1605198009
315,kouango,4.99,19.96,81.19,67,1,3.31,CF,1605198009
316,afua,-0.16,-50.39,85.48,73,30,6.55,BR,1605198010
317,mandali,33.75,45.55,69.44,51,74,3.4,IQ,1605198010
318,byron bay,-28.65,153.62,69.8,77,64,12.75,AU,1605198010
319,north bend,43.41,-124.22,39.99,100,1,9.17,US,1605198010
320,san quintin,30.48,-115.95,62.31,53,100,2.98,MX,1605197887
321,ulladulla,-35.35,150.47,64.99,100,40,4.7,AU,1605198011
322,necochea,-38.55,-58.74,79.0,63,69,14.0,AR,1605198011
323,sevierville,35.87,-83.56,59.0,100,90,8.05,US,1605198011
324,kemijarvi,66.71,27.43,33.91,96,97,5.97,FI,1605198012
325,progreso,21.28,-89.67,82.0,88,75,4.7,MX,1605198012
326,puerto leguizamo,-0.19,-74.78,80.6,81,100,3.56,CO,1605198012
327,avallon,47.48,3.9,55.99,80,64,4.45,FR,1605198012
328,mangrol,21.12,70.12,78.98,53,0,6.02,IN,1605198012
329,kirakira,-10.45,161.92,80.37,80,91,4.23,SB,1605198013
330,kerrville,30.05,-99.14,70.0,88,90,8.05,US,1605197827
331,lata,40.16,-8.33,68.0,74,100,2.57,PT,1605198013
332,igarka,67.47,86.58,-1.82,90,16,9.13,RU,1605198013
333,navalmoral de la mata,39.89,-5.54,57.0,76,94,6.98,ES,1605198013
334,limbang,4.75,115.0,82.4,83,75,3.36,MY,1605198013
335,kita,13.03,-9.49,95.77,11,0,7.02,ML,1605198013
336,ogaminana,7.59,6.22,90.05,41,30,4.21,NG,1605198014
337,derzhavinsk,51.1,66.32,24.89,94,80,10.36,KZ,1605198014
338,daru,-9.08,143.21,76.77,86,4,9.28,PG,1605198014
339,namatanai,-3.67,152.43,79.5,81,96,3.71,PG,1605198015
340,novikovo,51.15,37.89,33.85,86,26,3.56,RU,1605198015
341,mokrousovo,55.81,66.77,22.3,97,95,10.69,RU,1605198015
342,cabedelo,-6.98,-34.83,87.8,58,75,13.87,BR,1605198015
343,arawa,-6.21,155.54,77.83,83,73,2.86,PG,1605198015
344,manzhouli,49.6,117.43,20.59,86,0,5.3,CN,1605198015
345,lerwick,60.15,-1.15,50.0,87,75,6.93,GB,1605198005
346,ariquemes,-9.91,-63.04,99.57,36,67,2.21,BR,1605198016
347,nisia floresta,-6.09,-35.21,87.8,58,20,17.22,BR,1605198016
